0;1765;1;26;;
5973;2173;1;26;;
5974;2173;1;27;;
5975;2173;1;28;;
5979;2173;1;32;;
5980;2173;1;33;;
5981;2173;1;34;;
5982;2173;1;35;;
5983;2173;1;36;;
5985;795;1;26;;
5986;795;1;27;;
5987;795;1;28;;
5991;795;1;32;;
5992;795;1;33;;
5993;795;1;34;;
5994;795;1;35;;
5995;795;1;36;;
5997;2259;1;26;;
5998;2259;1;27;;
5999;2259;1;28;;
6003;2259;1;32;;
6004;2259;1;33;;
6005;2259;1;34;;
6006;2259;1;35;;
6007;2259;1;36;;
6009;2269;1;26;;
6010;2269;1;27;;
6011;2269;1;28;;
6015;2269;1;32;;
6016;2269;1;33;;
6017;2269;1;34;;
6018;2269;1;35;;
6019;2269;1;36;;
6021;2334;1;26;;
6022;2334;1;27;;
6023;2334;1;28;;
6027;2334;1;32;;
6028;2334;1;33;;
6029;2334;1;34;;
6030;2334;1;35;;
6031;2334;1;36;;
6033;1459;1;26;;
6034;1459;1;27;;
6035;1459;1;28;;
6039;1459;1;32;;
6040;1459;1;33;;
6041;1459;1;34;;
6042;1459;1;35;;
6043;1459;1;36;;
6045;138;1;26;;
6046;138;1;27;;
6047;138;1;28;;
6051;138;1;32;;
6052;138;1;33;;
6053;138;1;34;;
6054;138;1;35;;
6055;138;1;36;;
6057;2519;1;26;;
6058;2519;1;27;;
6059;2519;1;28;;
6063;2519;1;32;;
6064;2519;1;33;;
6065;2519;1;34;;
6066;2519;1;35;;
6067;2519;1;36;;
6069;2138;1;26;;
6070;2138;1;27;;
6071;2138;1;28;;
6075;2138;1;32;;
6076;2138;1;33;;
6077;2138;1;34;;
6078;2138;1;35;;
6079;2138;1;36;;
6081;535;1;26;;
6082;535;1;27;;
6083;535;1;28;;
6087;535;1;32;;
6088;535;1;33;;
6089;535;1;34;;
6090;535;1;35;;
6091;535;1;36;;
6093;2174;1;26;;
6094;2174;1;27;;
6095;2174;1;28;;
6099;2174;1;32;;
6100;2174;1;33;;
6101;2174;1;34;;
6102;2174;1;35;;
6103;2174;1;36;;
6105;2910;1;26;;
6106;2910;1;27;;
6107;2910;1;28;;
6111;2910;1;32;;
6112;2910;1;33;;
6113;2910;1;34;;
6114;2910;1;35;;
6115;2910;1;36;;
6117;1199;1;26;;
